product_no,product_name,ingredients,category
1,Cappy Cool Hibiscus,"Su, Şeker (S, Vişne Ve Kırmızı Üzüm Suyu Konsantreleri (meyve Oranı En Az %12, Asitlik Düzenleyici(sitrik Asit, Aroma Vericiler(erik, Zencefil, Karanfil, Incir, Hibiskus(bamya Çiçeği",İçecekler
2,Domestos Çamaşır Suyu Bio Active Mutfak,,"Temizlik, Deterjan"
3,Hero Baby Gourmet Balkabaklı Çorba Kavanoz Mama,,Bebek Ürünleri
4,Hero Baby Gourmet Havuçlu Pirinçli Çorba Kavanoz Mama,,Bebek Ürünleri
5,Hero Baby Gourmet Kabaklı Pirinçli Çorba Kavanoz Mama,,Bebek Ürünleri
6,Pınar Frii Kırmızı Üzümlü Gazlı İçecek,"Su, Üzüm Suyu Konsantresi %4, Şeker, Karbondioksit, Renklendiriciler (antosiyaninler, Amonyum Sülfit Karamel, Asitlik Düzenleyiciler (sitrik Asit, Sodyum Sitrat, Aroma Vericiler, Koruyucular (potasyum Sorbat, Sodyum Benzoat, Tatlandırıcılar (s",İçecekler
7,Pınar Frii Mandalinalı Gazlı İçecek,"Su, Şeker, Mandalina Suyu Konsantresi %4, Karbondioksit, Asitlik Düzenleyiciler (sitrik Asit, Sodyum Sitrat, Aroma Vericiler, Koruyucular (potasyum Sorbat, Sodyum Benzoat, Tatlandırıcılar (sukraloz, Asesülfam-k, Stabilizörler (akasya Gamı, Ağa",İçecekler
8,Pınar Frii Misket Limonlu Gazlı İçecek,"Su, Şeker, Karbondioksit, Limon Suyu Konsantresi, Asitlik Düzenleyiciler (sitrik Asit, Sodyum Sitrat, Doğal Aroma Vericiler, Renklendiriciler (klorofiller Ve Klorofilinlerin Bakır Kompleksleri, Aspir Çiçeği Konsantresi, Koruyucular (potasyum Sorb",İçecekler
9,Siirt Fıstığı kg,,Atıştırmalık
10,Trabzon Köy Ekmeği,"Buğday Unu, Içme Suyu, Maya(saccharomyces Cerevisiae, Tuz, Ekmek Enzimi((buğday Unu, Enzim(hemiselüloz, Alfa Amilaz, Lipaz",Fırın
11,Trendline Dana Etli Yetişkin Köpek Maması,,Pet Shop
12,Trendline Kuzu Etli Mini ve Küçük Irk Yetişkin Köpek Maması,,Pet Shop
13,Trendline Kuzu Etli Yetişkin Kedi Maması,,Patifour
14,Trendline Kuzu Etli Yetişkin Köpek Maması,,Pet Shop
15,Trendline Renkli Taneli Yetişkin Kedi Maması,,Patifour
16,Trendline Somonlu Kedi Maması,,Patifour
17,Trendline Tavuklu Yavru Kedi Maması,,Patifour
18,Trileçe,"Buğday Unu, Süt, Şeker, Yumurta, İrmik, Vanilya, Kabartma Tozu, Sıvı Şanti, Jöle (frambuaz Ya Da Karamel",Fırın
19,True Touch Kedi Ve Köpek Tüy Toplama Eldiveni,,Pet Shop
20,3 Katlı Evcil Hayvan Oyuncağı,,Pet Shop
21,7 Days Kruvasan Fındıklı Kremalı,"BUĞDAY Unu, Palm Yağı, Şeker, Su, Yağsız SÜT Tozu, Yağı Azaltılmış Kakao Tozu (%1, 5, Glukoz-fruktoz Şurubu, FINDIK (%1, Ayçiçek Yağı, Maya, Emülgatörler (yağ Asitlerinin Mono- Ve Digliseritleri, Lesitin, BUĞDAY Gluteni, Tuz, Aroma V",Atıştırmalık
22,7 Days Kruvasan Kakaolu Kremalı,"BUĞDAY Unu, Palm Yağı, Su, Şeker, Glukoz-fruktoz Şurubu, Yağı Azaltılmış Kakao Tozu (%1, 5, Maya, Ayçiçeği Yağı, Emülgatörler (yağ Asitlerinin Mono- Ve Digliseritleri, Yağ Asitlerinin Poligliserol Esterleri, Lesitin, BUĞD",Atıştırmalık
23,7UP Limon Aromalı Gazoz Pet,"SU, KARBONDİOKSİT, ASİTLER (SİTRİK ASİT, MALİK ASİT, AROMA VERİCİ, ASİTLİK DÜZENLEYİCİ (SODYUM SİTRAT, TATLANDIRICILAR (ASPARTAM, ASESÜLFAM K, KORUYUCU (SODYUM BENZOAT",İçecekler
24,8 Kek Mini Muzlu,"Şeker, Buğday Unu, Bitkisel Yağlar (palm, Tam Hidrojenize Palm, Tam Hidrojenize Palm Çekirdeği) Su, Yumurta, Invert Şeker Şurubu, Nem Vericiler (gliserol, Sorbitol) Peynir Altı Suyu Tozu, Maltodekstrin, Yağı Azaltılmış Kakao Tozu (%1, Tam Ya",Atıştırmalık
25,Ace Çamaşır Suyu Klasik,,"Temizlik, Deterjan"
26,Ace Çamaşır Suyu Klasik,,"Temizlik, Deterjan"
27,Ace Ultra Genel Kullanım Çamaşır Sulu Sprey,,"Temizlik, Deterjan"
28,Ace Ultra Kıvamlı Çamaşır Suyu Dağ Ferahlığı,,"Temizlik, Deterjan"
29,Ace Ultra Kıvamlı Çamaşır Suyu Okaliptüs,,"Temizlik, Deterjan"
30,Ace Ultra Profesyonel Çamaşır Sulu Sprey,,"Temizlik, Deterjan"
31,Ace Ultra Sprey Banyo,,"Temizlik, Deterjan"
32,Acetum Aceto Balsamik Sirkesi,,Temel Gıda
33,Acetum Blaze Balsamik Glaze Sos,"Modena Balsamik Sirkesi 70% (şarap Sirkesi, Konsantre Üzüm Şırası, Renklendirici: e150d, Glukoz Şurubu, Şeker, Modifiye Mısır Nişastası, Stabilizör: e415",Temel Gıda
34,Acı Kırmızı Biber kg,,Temel Gıda
35,Acı Sos,,Hazır Yemek&Donuk Ürünler
36,Acıka,,Temel Gıda
37,Acılı Kebap Kg,"Dana Ve Yağı, Kuzu Eti Ve Yağı, Çöp Şiş, Tuz, Sıvı Yağ, Kırmızı Toz Biber, Kırmızı Pul Biber, Karabiber","Et, Tavuk, Balık"
38,Açma 4'lü,"Buğday Unu, Içme Suyu, Şeker, Yumurta, Bitkisel Yağ(ayçicek Yağı, Margarin ((bitkisel Yağlar (değişen Miktarlarda Palm, Pamuk, Kanola, Ayçiçek, Su, Emülgatör(bitkisel Yağ Asitlerinin Mono-digliseritleri, Tuz, En Fazla %0, 17, Koruyucu(potasyum Sorbat, Asitlik Düzenleyici(sitrik Asit)tereyağı Aroma Vericisi, Ve Renklendirici (beta Karoten, Süt, Şeker, Maya(saccharomyces Cerevisiae, Tuz, Katkı Maddesi ((dekstroz, Gluten, Emülgatör, e472e)antioksidant(askorbik Asit, Enzimler(fungal Alfa Amilaz, Hemiselüloz",Fırın
39,Açma x2,"Buğday Unu, Içme Suyu, Şeker, Yumurta, Bitkisel Yağ(ayçicek Yağı, Margarin ((bitkisel Yağlar (değişen Miktarlarda Palm, Pamuk, Kanola, Ayçiçek, Su, Emülgatör(bitkisel Yağ Asitlerinin Mono-digliseritleri, Tuz, En Fazla %0, 17, Koruyucu(potasyum Sorbat, Asitlik Düzenleyici(sitrik Asit)tereyağı Aroma Vericisi, Ve Renklendirici (beta Karoten, Süt, Şeker, Maya(saccharomyces Cerevisiae, Tuz, Katkı Maddesi ((dekstroz, Gluten, Emülgatör, e472e)antioksidant(askorbik Asit, Enzimler(fungal Alfa Amilaz, Hemiselüloz",Fırın
40,Acqua Panna Su,,İçecekler
41,Acqua Panna Su,,İçecekler
42,Activia Doğal Probiyotikli Ananaslı Yoğurt,"Laktozsuz Probiyotikli Yoğurt, ananas(%4, 7, Pancar Şekeri, Modifiye Nişasta, Aroma Vericiler, Stabilizör (karragenan, Asitlik Düzenleyici (sodyum Sitratlar, Sitrik Asit) ActiRegularis Probiyotikleri (b.animalissubsp.lactis.l.lactis Subsp.lactis) En Az 2*10 Kob/paket",Süt Ürünleri
43,Activia Doğal Probiyotikli Çilekli Yoğurt,"Laktozsuz Probiyotikli Yoğurt, Çilek Parçaları Ve püresi(%8, 4, Pancar Şekeri, Modifiye Nişasta, Asitlik Düzenleyici (sodyum Sitratlar, Sitrik Asit, Kalsiyum Fosfatlar, Siyah Havuç Suyu Konsantresi, Aroma Vericiler, Stabilizör (karragenan) . ActiRegularis Probiyotikleri (b.animalis Subsp.lactis.l.lactis Subsp.lactis) En Az 2*10 Kob/paket",Süt Ürünleri
44,Activia Doğal Probiyotikli İncir&Ceviz&Tahıllı Yoğurt,"Laktozsuz Probiyotikli Yoğurt, Incir (%6, Pancar Şekeri, Modifiye Nişasta, Buğday (gluten) (%0, 9, Ceviz (%0, 4, Aroma Vericiler, Asitlik Düzenleyiciler (sodyum Sitratlar, Sitrik Asit, Stabilizör(ksantan Gam).actiregularis Probiyotikleri (b.animalis Subsp.lactis.l.lactis Subsp.lactis) En Az 2*10 Kob/paket",Süt Ürünleri
45,Activia Doğal Probiyotikli Kayısılı Yoğurt,"Laktozsuz Probiyotikli Yoğurt, Kuru Ve Yaş kayısı(%9, 8, Pancar Şekeri, Modifiye Nişasta, Stabilizör (karragenan, Aroma Vericiler, Renklendiriciler(lutein, Paprika Ekstraktı) Asitlik Düzenleyici (sodyum Sitratlar, Sitrik Asit) ActiRegularis Probiyotikleri (b.animalis Subsp.lactis.l.lactis Subsp.lactis) En Az 2*10 Kob/paket",Süt Ürünleri
